Nodo;Latitud;Longitud
0;-8.189136;-76.534803
1;-8.187235;-76.534567
2;-8.188987;-76.534106
3;-8.189932;-76.533859
4;-8.189484;-76.532042
5;-8.192422;-76.531194
6;-8.186165;-76.530813
7;-8.187024;-76.530615
8;-8.187927;-76.530386
9;-8.188981;-76.530162
10;-8.190035;-76.529983
11;-8.191987;-76.529345
12;-8.193083;-76.529034
13;-8.185965;-76.530005
14;-8.186791;-76.52977
15;-8.187692;-76.529497
16;-8.188762;-76.529213
17;-8.18979;-76.528928
18;-8.190884;-76.528622
19;-8.185539;-76.529103
20;-8.186527;-76.528827
21;-8.187424;-76.52863
22;-8.188516;-76.528368
23;-8.189503;-76.528079
24;-8.190478;-76.527777
25;-8.191557;-76.527488
26;-8.19247;-76.527252
27;-8.193309;-76.52707
28;-8.19461;-76.52737
29;-8.185015;-76.528313
30;-8.186322;-76.527949
31;-8.187163;-76.527752
32;-8.188282;-76.527416
33;-8.189264;-76.5272
34;-8.190264;-76.526965
35;-8.191318;-76.526677
36;-8.18503;-76.527396
37;-8.186059;-76.52713
38;-8.187005;-76.52691
39;-8.18811;-76.526623
40;-8.189119;-76.526312
41;-8.190037;-76.526151
42;-8.190612;-76.526033
43;-8.191115;-76.525851
44;-8.192007;-76.525631
45;-8.192926;-76.525346
46;-8.193715;-76.525128
47;-8.194543;-76.524935
48;-8.184845;-76.526486
49;-8.185819;-76.526197
50;-8.186775;-76.525914
51;-8.18783;-76.525627
52;-8.188842;-76.525398
53;-8.189773;-76.525077
54;-8.190346;-76.524927
55;-8.190803;-76.524788
56;-8.192795;-76.524841
57;-8.193614;-76.524644
58;-8.19266;-76.524401
59;-8.193485;-76.524153
60;-8.184611;-76.525518
61;-8.185583;-76.525251
62;-8.186555;-76.525034
63;-8.187604;-76.524791
64;-8.188664;-76.524498
65;-8.189561;-76.52423
66;-8.190584;-76.524
67;-8.192453;-76.523515
68;-8.193287;-76.523286
69;-8.194524;-76.522979
70;-8.184351;-76.524627
71;-8.185342;-76.524354
72;-8.186311;-76.524111
73;-8.187409;-76.523895
74;-8.188414;-76.52358
75;-8.189338;-76.523242
76;-8.190358;-76.523017
77;-8.191223;-76.522807
78;-8.192205;-76.522625
79;-8.193087;-76.522384
80;-8.185155;-76.523473
81;-8.186101;-76.523215
82;-8.186566;-76.523079
83;-8.187137;-76.522972
84;-8.188203;-76.522714
85;-8.189119;-76.522396
86;-8.190096;-76.522183
87;-8.191027;-76.521971
88;-8.192006;-76.52174
89;-8.192783;-76.521604
90;-8.185023;-76.523035
91;-8.186244;-76.522284
92;-8.186871;-76.521959
93;-8.187957;-76.521806
94;-8.188896;-76.521618
95;-8.189933;-76.521406
96;-8.190796;-76.521269
97;-8.184173;-76.522309
98;-8.184744;-76.522111
99;-8.185741;-76.5215
100;-8.186661;-76.521094
101;-8.18776;-76.520887
102;-8.18867;-76.520625
103;-8.183924;-76.521792
104;-8.184349;-76.521556
105;-8.185188;-76.520698
106;-8.18643;-76.520237
107;-8.183625;-76.521227
108;-8.183941;-76.521048
109;-8.185014;-76.52027
110;-8.186182;-76.519551
111;-8.187679;-76.519959
112;-8.188805;-76.520206
113;-8.189958;-76.520502
114;-8.191753;-76.521079
115;-8.192798;-76.521386
116;-8.193441;-76.521603
117;-8.194486;-76.5219
118;-8.183515;-76.520506
119;-8.184563;-76.51974
120;-8.185674;-76.519026
121;-8.182555;-76.520289
122;-8.182896;-76.520059
123;-8.184184;-76.519166
124;-8.185245;-76.518528
125;-8.185661;-76.518592
126;-8.186457;-76.51886
127;-8.186962;-76.519013
128;-8.187834;-76.519204
129;-8.189006;-76.519591
130;-8.190203;-76.519916
131;-8.191997;-76.520421
132;-8.193658;-76.520953
133;-8.194551;-76.521251
134;-8.182108;-76.519749
135;-8.183068;-76.51943
136;-8.183787;-76.519048
137;-8.184646;-76.51878
138;-8.183257;-76.51878
139;-8.182386;-76.519482
140;-8.1826;-76.518601
141;-8.183093;-76.51707
142;-8.183737;-76.5173
143;-8.184365;-76.517511
144;-8.184949;-76.517683
145;-8.185767;-76.517898
146;-8.186691;-76.518166
147;-8.187147;-76.518316
148;-8.188029;-76.518573
149;-8.189176;-76.518842
150;-8.190344;-76.519228
151;-8.190938;-76.519335
152;-8.192128;-76.519818
153;-8.193933;-76.520269
154;-8.194602;-76.520515
155;-8.194995;-76.520548
156;-8.18332;-76.516132
157;-8.183957;-76.516293
158;-8.184573;-76.516486
159;-8.185199;-76.516711
160;-8.186155;-76.51699
161;-8.186952;-76.517194
162;-8.187484;-76.517315
163;-8.188384;-76.517574
164;-8.189505;-76.517902
165;-8.190617;-76.518246
166;-8.191254;-76.518428
167;-8.191854;-76.518605
168;-8.192496;-76.51883
169;-8.1942;-76.519324
170;-8.194896;-76.519538
171;-8.18361;-76.515197
172;-8.184241;-76.515402
173;-8.184571;-76.51547
174;-8.184894;-76.515576
175;-8.185508;-76.515746
176;-8.186458;-76.515966
177;-8.186471;-76.515985
178;-8.187216;-76.516275
179;-8.187778;-76.516406
180;-8.18865;-76.516674
181;-8.189728;-76.516992
182;-8.190896;-76.517335
183;-8.191519;-76.517508
184;-8.192148;-76.517719
185;-8.192795;-76.517898
186;-8.194468;-76.518454
187;-8.195306;-76.518624
188;-8.196214;-76.51889
189;-8.197025;-76.519148
190;-8.19677;-76.520081
191;-8.196485;-76.521075
192;-8.19644;-76.524018
193;-8.197093;-76.524124
194;-8.197724;-76.52458
195;-8.197288;-76.523237
196;-8.197401;-76.521333
197;-8.197896;-76.523237
198;-8.198257;-76.521575
199;-8.199156;-76.521864
200;-8.199055;-76.522685
201;-8.198949;-76.523565
202;-8.199676;-76.523742
203;-8.199602;-76.524504
204;-8.200239;-76.523903
205;-8.199777;-76.522873
206;-8.199825;-76.52209
207;-8.19792;-76.519472
208;-8.198778;-76.519761
209;-8.201082;-76.520438
210;-8.184004;-76.514209
211;-8.184878;-76.514496
212;-8.185789;-76.514823
213;-8.186709;-76.515077
214;-8.187489;-76.515345
215;-8.188054;-76.515524
216;-8.188922;-76.515808
217;-8.189964;-76.516127
218;-8.190119;-76.516181
219;-8.191158;-76.516525
220;-8.191758;-76.516687
221;-8.192385;-76.516893
222;-8.193014;-76.517086
223;-8.194808;-76.517628
224;-8.195556;-76.517829
225;-8.196447;-76.518127
226;-8.197282;-76.518368
227;-8.198185;-76.518629
228;-8.184333;-76.513198
229;-8.185213;-76.513528
230;-8.186121;-76.513853
231;-8.186535;-76.514004
232;-8.186994;-76.514171
233;-8.187791;-76.514446
234;-8.188345;-76.514644
235;-8.189196;-76.514926
236;-8.190217;-76.515313
237;-8.190371;-76.51537
238;-8.19141;-76.515689
